,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Phoenicurus ochruros,Phoenicurus ochruros,Zwarte roodstaart,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Phoenicurus phoenicurus,Phoenicurus phoenicurus,Gekraagde roodstaart,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Phylloscopus collybita,Phylloscopus collybita,Tjiftjaf ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Phylloscopus sibilatrix,Phylloscopus sibilatrix,Fluiter ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Phylloscopus trochilus,Phylloscopus trochilus,Fitis,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Pica pica,Pica pica,Ekster ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Picus viridis,Picus viridis,Groene specht ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Platalea leucorodia,Platalea leucorodia,Lepelaar,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Plectrophenax nivalis,Plectrophenax nivalis,Sneeuwgors,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Pluvialis apricaria,Pluvialis apricaria,Goudplevier,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,Birds
Pluvialis squatarola,Pluvialis squatarola,Zilverplevier,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Podiceps auritus,Podiceps auritus,Kuifduiker,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Podiceps cristatus,Podiceps cristatus,Fuut,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Podiceps grisegena,Podiceps grisegena,Roodhalsfuut,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Podiceps nigricollis,Podiceps nigricollis,Geoorde fuut ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Poecile montanus,Poecile montanus,Matkop,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Poecile palustris,Poecile palustris,Glanskop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Porzana parva,Porzana parva,Klein waterhoen,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Porzana porzana,Porzana porzana,Porseleinhoen,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Porzana pusilla,Porzana pusilla,Kleinst waterhoen,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,Birds
Prunella modularis,Prunella modularis,Heggenmus ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Pyrrhula pyrrhula,Pyrrhula pyrrhula,Goudvink ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Rallus aquaticus,Rallus aquaticus,Waterral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Recurvirostra avosetta,Recurvirostra avosetta,Kluut,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Regulus ignicapilla,Regulus ignicapilla,Vuurgoudhaan,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
